Raden 1, Råbylille, 4780 Stege;4780;Stege;https://dawa.aws.dk/adgangsadresser/0a3f5085-96c4-32b8-e044-0003ba298018;0a3f5085-96c4-32b8-e044-0003ba298018
Tidløsvej 1, 4873 Væggerløse;4873;Væggerløse;https://dawa.aws.dk/adgangsadresser/0a3f5087-1ea4-32b8-e044-0003ba298018;0a3f5087-1ea4-32b8-e044-0003ba298018
Dævidsrødvej 1A, Dævidsrød, 4200 Slagelse;4200;Slagelse;https://dawa.aws.dk/adgangsadresser/0a3f5084-4393-32b8-e044-0003ba298018;0a3f5084-4393-32b8-e044-0003ba298018
Egehaven 1, 8520 Lystrup;8520;Lystrup;https://dawa.aws.dk/adgangsadresser/0a3f5096-0eac-32b8-e044-0003ba298018;0a3f5096-0eac-32b8-e044-0003ba298018
Ohmannsvej 1B, 3360 Liseleje;3360;Liseleje;https://dawa.aws.dk/adgangsadresser/0a3f507f-0483-32b8-e044-0003ba298018;0a3f507f-0483-32b8-e044-0003ba298018
Sybergsvej 3, 5220 Odense SØ;5220;Odense SØ;https://dawa.aws.dk/adgangsadresser/0a3f5089-cccd-32b8-e044-0003ba298018;0a3f5089-cccd-32b8-e044-0003ba298018
Landbæk 2, Øsløs, 7742 Vesløs;7742;Vesløs;https://dawa.aws.dk/adgangsadresser/0a3f5098-88c3-32b8-e044-0003ba298018;0a3f5098-88c3-32b8-e044-0003ba298018
Oehlenschlægersgade 1, 1663 København V;1663;København V;https://dawa.aws.dk/adgangsadresser/0a3f507a-d307-32b8-e044-0003ba298018;0a3f507a-d307-32b8-e044-0003ba298018
Aulbjergvej 1, Kingstrup, 5591 Gelsted;5591;Gelsted;https://dawa.aws.dk/adgangsadresser/0a3f5087-fdfd-32b8-e044-0003ba298018;0a3f5087-fdfd-32b8-e044-0003ba298018
Olof Palmes Allé 10, 8200 Aarhus N;8200;Aarhus N;https://dawa.aws.dk/adgangsadresser/0a3f5096-ac95-32b8-e044-0003ba298018;0a3f5096-ac95-32b8-e044-0003ba298018
Padholm 2, 6440 Augustenborg;6440;Augustenborg;https://dawa.aws.dk/adgangsadresser/0a3f508b-2477-32b8-e044-0003ba298018;0a3f508b-2477-32b8-e044-0003ba298018
Naurvej 1, Undløse, 4340 Tølløse;4340;Tølløse;https://dawa.aws.dk/adgangsadresser/0a3f5083-752e-32b8-e044-0003ba298018;0a3f5083-752e-32b8-e044-0003ba298018
Majorvej 2, 8930 Randers NØ;8930;Randers NØ;https://dawa.aws.dk/adgangsadresser/0a3f5094-bdb5-32b8-e044-0003ba298018;0a3f5094-bdb5-32b8-e044-0003ba298018
Granvej 10, Rågeleje, 3210 Vejby;3210;Vejby;https://dawa.aws.dk/adresser/0a3f50a8-bb1d-32b8-e044-0003ba298018;0a3f50a8-bb1d-32b8-e044-0003ba298018
Lånhusvejen 1, Krogen, 9500 Hobro;9500;Hobro;https://dawa.aws.dk/adgangsadresser/0a3f5099-1b8e-32b8-e044-0003ba298018;0a3f5099-1b8e-32b8-e044-0003ba298018
Damly 1, 9830 Tårs;9830;Tårs;https://dawa.aws.dk/adgangsadresser/0a3f509a-6776-32b8-e044-0003ba298018;0a3f509a-6776-32b8-e044-0003ba298018
Dams-Åsen 3, Rågeleje, 3210 Vejby;3210;Vejby;https://dawa.aws.dk/adgangsadresser/0a3f507f-23a5-32b8-e044-0003ba298018;0a3f507f-23a5-32b8-e044-0003ba298018
Vibækvej 3, Endrup, 6740 Bramming;6740;Bramming;https://dawa.aws.dk/adgangsadresser/0a3f508d-599b-32b8-e044-0003ba298018;0a3f508d-599b-32b8-e044-0003ba298018
Jakobsvej 1, Høll, 7080 Børkop;7080;Børkop;https://dawa.aws.dk/adgangsadresser/0a3f508e-c552-32b8-e044-0003ba298018;0a3f508e-c552-32b8-e044-0003ba298018
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
Vigø 1, 5642 Millinge;5642;Millinge;https://dawa.aws.dk/adresser/0a3f50b2-bf6a-32b8-e044-0003ba298018;0a3f50b2-bf6a-32b8-e044-0003ba298018
Fisken 1, 7100 Vejle;7100;Vejle;https://dawa.aws.dk/adgangsadresser/f1368388-cd83-4fe7-a1a0-e9903e9fc513;f1368388-cd83-4fe7-a1a0-e9903e9fc513
Rågø 1, 4913 Horslunde;4913;Horslunde;https://dawa.aws.dk/adgangsadresser/0a3f5086-7b5c-32b8-e044-0003ba298018;0a3f5086-7b5c-32b8-e044-0003ba298018
Wølundsvej 1B, 9492 Blokhus;9492;Blokhus;https://dawa.aws.dk/adgangsadresser/0a3f509b-550d-32b8-e044-0003ba298018;0a3f509b-550d-32b8-e044-0003ba298018
Nydam 1, Kliplev, 6200 Aabenraa;6200;Aabenraa;https://dawa.aws.dk/adgangsadresser/0a3f508b-c5bf-32b8-e044-0003ba298018;0a3f508b-c5bf-32b8-e044-0003ba298018
Rumæniensgade 1, 2300 København S;2300;København S;https://dawa.aws.dk/adgangsadresser/0a3f507a-e675-32b8-e044-0003ba298018;0a3f507a-e675-32b8-e044-0003ba298018
Slap-a-vej 2, 3600 Frederikssund;3600;Frederikssund;https://dawa.aws.dk/adgangsadresser/84510c0a-96a5-4319-a231-e1706008cce4;84510c0a-96a5-4319-a231-e1706008cce4
Naurvej 1, Undløse, 4340 Tølløse;4340;Tølløse;https://dawa.aws.dk/adgangsadresser/0a3f5083-752e-32b8-e044-0003ba298018;0a3f5083-752e-32b8-e044-0003ba298018
Fælled Alle 1, Ramsing, 7860 Spøttrup;7860;Spøttrup;https://dawa.aws.dk/adgangsadresser/0a3f5098-2e66-32b8-e044-0003ba298018;0a3f5098-2e66-32b8-e044-0003ba298018
